Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
billy elliot,2000,"Drama, Music",7.7,a talented young boy becomes torn between his unexpected love of dance and the disintegration of his family,74.0,stephendaldry,jamiebell,juliewalters,jeanheywood,billy elliot drama music stephendaldry jamiebell juliewalters jeanheywood a talented young boy becomes torn between his unexpected love of dance and the disintegration of his family
hedwig and the angry inch,2001,"Comedy, Drama, Music",7.7,a gender-queer punk-rock singer from east berlin tours the us with her band as she tells her life story and follows the former lover/band-mate who stole her songs,85.0,johncameronmitchell,johncameronmitchell,miriamshor,stephentrask,hedwig and the angry inch comedy drama music johncameronmitchell johncameronmitchell miriamshor stephentrask a gender-queer punk-rock singer from east berlin tours the us with her band as she tells her life story and follows the former lover/band-mate who stole her songs
ocean's eleven,2001,"Crime, Thriller",7.7,danny ocean and his ten accomplices plan to rob three las vegas casinos simultaneously,74.0,stevensoderbergh,georgeclooney,bradpitt,juliaroberts,ocean's eleven crime thriller stevensoderbergh georgeclooney bradpitt juliaroberts danny ocean and his ten accomplices plan to rob three las vegas casinos simultaneously
vampire hunter d: bloodlust,2000,"Animation, Action, Fantasy",7.7,when a girl is abducted by a vampire a legendary bounty hunter is hired to bring her back,62.0,yoshiakikawajiri,andrewphilpot,johnrafterlee,pamelaadlon,vampire hunter d: bloodlust animation action fantasy yoshiakikawajiri andrewphilpot johnrafterlee pamelaadlon when a girl is abducted by a vampire a legendary bounty hunter is hired to bring her back
"o brother, where art thou?",2000,"Adventure, Comedy, Crime",7.7,in the deep south during the 1930s three escaped convicts search for hidden treasure while a relentless lawman pursues them,69.0,joelcoen,ethancoen,georgeclooney,johnturturro,o brother where art thou? adventure comedy crime joelcoen ethancoen georgeclooney johnturturro in the deep south during the 1930s three escaped convicts search for hidden treasure while a relentless lawman pursues them
interstate 60: episodes of the road,2002,"Adventure, Comedy, Drama",7.7,neal oliver a very confused young man and an artist takes a journey of a lifetime on a highway i60 that doesn't exist on any of the maps going to the places he never even heard of searching for an answer and his dreamgirl,78.0,bobgale,jamesmarsden,garyoldman,kurtrussell,interstate 60: episodes of the road adventure comedy drama bobgale jamesmarsden garyoldman kurtrussell neal oliver a very confused young man and an artist takes a journey of a lifetime on a highway i60 that doesn't exist on any of the maps going to the places he never even heard of searching for an answer and his dreamgirl
"south park: bigger, longer & uncut",1999,"Animation, Comedy, Fantasy",7.7,when stan marsh and his friends go see an r-rated movie they start cursing and their parents think that canada is to blame,73.0,treyparker,treyparker,mattstone,marykaybergman,south park: bigger longer & uncut animation comedy fantasy treyparker treyparker mattstone marykaybergman when stan marsh and his friends go see an r-rated movie they start cursing and their parents think that canada is to blame
office space,1999,Comedy,7.7,three company workers who hate their jobs decide to rebel against their greedy boss,68.0,mikejudge,ronlivingston,jenniferaniston,davidherman,office space comedy mikejudge ronlivingston jenniferaniston davidherman three company workers who hate their jobs decide to rebel against their greedy boss
happiness,1998,"Comedy, Drama",7.7,the lives of several individuals intertwine as they go about their lives in their own unique ways engaging in acts society as a whole might find disturbing in a desperate search for human connection,81.0,toddsolondz,janeadams,jonlovitz,philipseymourhoffman,happiness comedy drama toddsolondz janeadams jonlovitz philipseymourhoffman the lives of several individuals intertwine as they go about their lives in their own unique ways engaging in acts society as a whole might find disturbing in a desperate search for human connection
training day,2001,"Crime, Drama, Thriller",7.7,a rookie cop spends his first day as a los angeles narcotics officer with a rogue detective who isn't what he appears to be,69.0,antoinefuqua,denzelwashington,ethanhawke,scottglenn,training day crime drama thriller antoinefuqua denzelwashington ethanhawke scottglenn a rookie cop spends his first day as a los angeles narcotics officer with a rogue detective who isn't what he appears to be
