Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
call me by your name,2017,"Drama, Romance",7.9,in 1980s italy romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant,93.0,lucaguadagnino,armiehammer,timothéechalamet,michaelstuhlbarg,call me by your name drama romance lucaguadagnino armiehammer timothéechalamet michaelstuhlbarg in 1980s italy romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant
"i, daniel blake",2016,Drama,7.9,after having suffered a heart-attack a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive employment and support allowance,78.0,kenloach,lauraobiols,davejohns,hayleysquires,i daniel blake drama kenloach lauraobiols davejohns hayleysquires after having suffered a heart-attack a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive employment and support allowance
isle of dogs,2018,"Animation, Adventure, Comedy",7.9,set in japan isle of dogs follows a boy's odyssey in search of his lost dog,82.0,wesanderson,bryancranston,koyurankin,edwardnorton,isle of dogs animation adventure comedy wesanderson bryancranston koyurankin edwardnorton set in japan isle of dogs follows a boy's odyssey in search of his lost dog
hunt for the wilderpeople,2016,"Adventure, Comedy, Drama",7.9,a national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild new zealand bush,81.0,taikawaititi,samneill,juliandennison,rimatewiata,hunt for the wilderpeople adventure comedy drama taikawaititi samneill juliandennison rimatewiata a national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild new zealand bush
captain fantastic,2016,"Comedy, Drama",7.9,in the forests of the pacific northwest a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world challenging his idea of what it means to be a parent,72.0,mattross,viggomortensen,georgemackay,samanthaisler,captain fantastic comedy drama mattross viggomortensen georgemackay samanthaisler in the forests of the pacific northwest a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world challenging his idea of what it means to be a parent
sing street,2016,"Comedy, Drama, Music",7.9,a boy growing up in dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes,79.0,johncarney,ferdiawalsh-peelo,aidangillen,mariadoylekennedy,sing street comedy drama music johncarney ferdiawalsh-peelo aidangillen mariadoylekennedy a boy growing up in dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes
thor: ragnarok,2017,"Action, Adventure, Comedy",7.9,imprisoned on the planet sakaar thor must race against time to return to asgard and stop ragnarök the destruction of his world at the hands of the powerful and ruthless villain hela,74.0,taikawaititi,chrishemsworth,tomhiddleston,cateblanchett,thor: ragnarok action adventure comedy taikawaititi chrishemsworth tomhiddleston cateblanchett imprisoned on the planet sakaar thor must race against time to return to asgard and stop ragnarök the destruction of his world at the hands of the powerful and ruthless villain hela
nightcrawler,2014,"Crime, Drama, Thriller",7.9,when louis bloom a con man desperate for work muscles into the world of la crime journalism he blurs the line between observer and participant to become the star of his own story,76.0,dangilroy,jakegyllenhaal,renerusso,billpaxton,nightcrawler crime drama thriller dangilroy jakegyllenhaal renerusso billpaxton when louis bloom a con man desperate for work muscles into the world of la crime journalism he blurs the line between observer and participant to become the star of his own story
jojo rabbit,2019,"Comedy, Drama, War",7.9,a young boy in hitler's army finds out his mother is hiding a jewish girl in their home,58.0,taikawaititi,romangriffindavis,thomasinmckenzie,scarlettjohansson,jojo rabbit comedy drama war taikawaititi romangriffindavis thomasinmckenzie scarlettjohansson a young boy in hitler's army finds out his mother is hiding a jewish girl in their home
arrival,2016,"Drama, Sci-Fi",7.9,a linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world,81.0,denisvilleneuve,amyadams,jeremyrenner,forestwhitaker,arrival drama sci-fi denisvilleneuve amyadams jeremyrenner forestwhitaker a linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world
star wars: episode vii - the force awakens,2015,"Action, Adventure, Sci-Fi",7.9,as a new threat to the galaxy rises rey a desert scavenger and finn an ex-stormtrooper must join han solo and chewbacca to search for the one hope of restoring peace,80.0,jjabrams,daisyridley,johnboyega,oscarisaac,star wars: episode vii - the force awakens action adventure sci-fi jjabrams daisyridley johnboyega oscarisaac as a new threat to the galaxy rises rey a desert scavenger and finn an ex-stormtrooper must join han solo and chewbacca to search for the one hope of restoring peace
before midnight,2013,"Drama, Romance",7.9,we meet jesse and celine nine years on in greece almost two decades have passed since their first meeting on that train bound for vienna,94.0,richardlinklater,ethanhawke,juliedelpy,seamusdavey-fitzpatrick,before midnight drama romance richardlinklater ethanhawke juliedelpy seamusdavey-fitzpatrick we meet jesse and celine nine years on in greece almost two decades have passed since their first meeting on that train bound for vienna
x-men: days of future past,2014,"Action, Adventure, Sci-Fi",7.9,the x-men send wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants,75.0,bryansinger,patrickstewart,ianmckellen,hughjackman,x-men: days of future past action adventure sci-fi bryansinger patrickstewart ianmckellen hughjackman the x-men send wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants
bir zamanlar anadolu'da,2011,"Crime, Drama",7.9,a group of men set out in search of a dead body in the anatolian steppes,82.0,nuribilgeceylan,muhammetuzuner,yilmazerdogan,tanerbirsel,bir zamanlar anadolu'da crime drama nuribilgeceylan muhammetuzuner yilmazerdogan tanerbirsel a group of men set out in search of a dead body in the anatolian steppes
the artist,2011,"Comedy, Drama, Romance",7.9,an egomaniacal film star develops a relationship with a young dancer against the backdrop of hollywood's silent era,89.0,michelhazanavicius,jeandujardin,bérénicebejo,johngoodman,the artist comedy drama romance michelhazanavicius jeandujardin bérénicebejo johngoodman an egomaniacal film star develops a relationship with a young dancer against the backdrop of hollywood's silent era
edge of tomorrow,2014,"Action, Adventure, Sci-Fi",7.9,a soldier fighting aliens gets to relive the same day over and over again the day restarting every time he dies,71.0,dougliman,tomcruise,emilyblunt,billpaxton,edge of tomorrow action adventure sci-fi dougliman tomcruise emilyblunt billpaxton a soldier fighting aliens gets to relive the same day over and over again the day restarting every time he dies
amour,2012,"Drama, Romance",7.9,georges and anne are an octogenarian couple they are cultivated retired music teachers their daughter also a musician lives in britain with her family one day anne has a stroke and the couple's bond of love is severely tested,94.0,michaelhaneke,jean-louistrintignant,emmanuelleriva,isabellehuppert,amour drama romance michaelhaneke jean-louistrintignant emmanuelleriva isabellehuppert georges and anne are an octogenarian couple they are cultivated retired music teachers their daughter also a musician lives in britain with her family one day anne has a stroke and the couple's bond of love is severely tested
the irishman,2019,"Biography, Crime, Drama",7.9,an old man recalls his time painting houses for his friend jimmy hoffa through the 1950-70s,94.0,martinscorsese,robertdeniro,alpacino,joepesci,the irishman biography crime drama martinscorsese robertdeniro alpacino joepesci an old man recalls his time painting houses for his friend jimmy hoffa through the 1950-70s
un prophète,2009,"Crime, Drama",7.9,a young arab man is sent to a french prison,90.0,jacquesaudiard,taharrahim,nielsarestrup,adelbencherif,un prophète crime drama jacquesaudiard taharrahim nielsarestrup adelbencherif a young arab man is sent to a french prison
moon,2009,"Drama, Mystery, Sci-Fi",7.9,astronaut sam bell has a quintessentially personal encounter toward the end of his three-year stint on the moon where he working alongside his computer gerty sends back to earth parcels of a resource that has helped diminish our planet's power problems,67.0,duncanjones,samrockwell,kevinspacey,dominiquemcelligott,moon drama mystery sci-fi duncanjones samrockwell kevinspacey dominiquemcelligott astronaut sam bell has a quintessentially personal encounter toward the end of his three-year stint on the moon where he working alongside his computer gerty sends back to earth parcels of a resource that has helped diminish our planet's power problems
låt den rätte komma in,2008,"Crime, Drama, Fantasy",7.9,oskar an overlooked and bullied boy finds love and revenge through eli a beautiful but peculiar girl,82.0,tomasalfredson,kårehedebrant,linaleandersson,perragnar,låt den rätte komma in crime drama fantasy tomasalfredson kårehedebrant linaleandersson perragnar oskar an overlooked and bullied boy finds love and revenge through eli a beautiful but peculiar girl
district 9,2009,"Action, Sci-Fi, Thriller",7.9,violence ensues after an extraterrestrial race forced to live in slum-like conditions on earth finds a kindred spirit in a government agent exposed to their biotechnology,81.0,neillblomkamp,sharltocopley,davidjames,jasoncope,district 9 action sci-fi thriller neillblomkamp sharltocopley davidjames jasoncope violence ensues after an extraterrestrial race forced to live in slum-like conditions on earth finds a kindred spirit in a government agent exposed to their biotechnology
the wrestler,2008,"Drama, Sport",7.9,a faded professional wrestler must retire but finds his quest for a new life outside the ring a dispiriting struggle,80.0,darrenaronofsky,mickeyrourke,marisatomei,evanrachelwood,the wrestler drama sport darrenaronofsky mickeyrourke marisatomei evanrachelwood a faded professional wrestler must retire but finds his quest for a new life outside the ring a dispiriting struggle
jab we met,2007,"Comedy, Drama, Romance",7.9,a depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman,78.0,imtiazali,shahidkapoor,kareenakapoor,tarunarora,jab we met comedy drama romance imtiazali shahidkapoor kareenakapoor tarunarora a depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman
boyhood,2014,Drama,7.9,the life of mason from early childhood to his arrival at college,100.0,richardlinklater,ellarcoltrane,patriciaarquette,ethanhawke,boyhood drama richardlinklater ellarcoltrane patriciaarquette ethanhawke the life of mason from early childhood to his arrival at college
"4 luni, 3 saptamâni si 2 zile",2007,Drama,7.9,a woman assists her friend in arranging an illegal abortion in 1980s romania,97.0,cristianmungiu,anamariamarinca,lauravasiliu,vladivanov,4 luni 3 saptamâni si 2 zile drama cristianmungiu anamariamarinca lauravasiliu vladivanov a woman assists her friend in arranging an illegal abortion in 1980s romania
star trek,2009,"Action, Adventure, Sci-Fi",7.9,the brash james t kirk tries to live up to his father's legacy with mr spock keeping him in check as a vengeful romulan from the future creates black holes to destroy the federation one planet at a time,82.0,jjabrams,chrispine,zacharyquinto,simonpegg,star trek action adventure sci-fi jjabrams chrispine zacharyquinto simonpegg the brash james t kirk tries to live up to his father's legacy with mr spock keeping him in check as a vengeful romulan from the future creates black holes to destroy the federation one planet at a time
in bruges,2008,"Comedy, Crime, Drama",7.9,guilt-stricken after a job gone wrong hitman ray and his partner await orders from their ruthless boss in bruges belgium the last place in the world ray wants to be,67.0,martinmcdonagh,colinfarrell,brendangleeson,ciaránhinds,in bruges comedy crime drama martinmcdonagh colinfarrell brendangleeson ciaránhinds guilt-stricken after a job gone wrong hitman ray and his partner await orders from their ruthless boss in bruges belgium the last place in the world ray wants to be
the man from earth,2007,"Drama, Fantasy, Mystery",7.9,an impromptu goodbye party for professor john oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine,78.0,richardschenkman,davidleesmith,tonytodd,johnbillingsley,the man from earth drama fantasy mystery richardschenkman davidleesmith tonytodd johnbillingsley an impromptu goodbye party for professor john oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine
letters from iwo jima,2006,"Action, Adventure, Drama",7.9,the story of the battle of iwo jima between the united states and imperial japan during world war ii as told from the perspective of the japanese who fought it,89.0,clinteastwood,kenwatanabe,kazunarininomiya,tsuyoshiihara,letters from iwo jima action adventure drama clinteastwood kenwatanabe kazunarininomiya tsuyoshiihara the story of the battle of iwo jima between the united states and imperial japan during world war ii as told from the perspective of the japanese who fought it
the fall,2006,"Adventure, Drama, Fantasy",7.9,in a hospital on the outskirts of 1920s los angeles an injured stuntman begins to tell a fellow patient a little girl with a broken arm a fantastic story of five mythical heroes thanks to his fractured state of mind and her vivid imagination the line between fiction and reality blurs as the tale advances,64.0,tarsemsingh,leepace,catincauntaru,justinewaddell,the fall adventure drama fantasy tarsemsingh leepace catincauntaru justinewaddell in a hospital on the outskirts of 1920s los angeles an injured stuntman begins to tell a fellow patient a little girl with a broken arm a fantastic story of five mythical heroes thanks to his fractured state of mind and her vivid imagination the line between fiction and reality blurs as the tale advances
life of pi,2012,"Adventure, Drama, Fantasy",7.9,a young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery while cast away he forms an unexpected connection with another survivor: a fearsome bengal tiger,79.0,anglee,surajsharma,irrfankhan,adilhussain,life of pi adventure drama fantasy anglee surajsharma irrfankhan adilhussain a young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery while cast away he forms an unexpected connection with another survivor: a fearsome bengal tiger
fantastic mr. fox,2009,"Animation, Adventure, Comedy",7.9,an urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation,83.0,wesanderson,georgeclooney,merylstreep,billmurray,fantastic mr fox animation adventure comedy wesanderson georgeclooney merylstreep billmurray an urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation
c.r.a.z.y.,2005,"Comedy, Drama",7.9,a young french-canadian growing up in the 1960s and 1970s struggles to reconcile his emerging homosexuality with his father's conservative values and his own catholic beliefs,81.0,jean-marcvallée,michelcôté,marc-andrégrondin,danielleproulx,crazy comedy drama jean-marcvallée michelcôté marc-andrégrondin danielleproulx a young french-canadian growing up in the 1960s and 1970s struggles to reconcile his emerging homosexuality with his father's conservative values and his own catholic beliefs
les choristes,2004,"Drama, Music",7.9,the new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music,56.0,christophebarratier,gérardjugnot,françoisberléand,jean-baptistemaunier,les choristes drama music christophebarratier gérardjugnot françoisberléand jean-baptistemaunier the new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music
iron man,2008,"Action, Adventure, Sci-Fi",7.9,after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil,79.0,jonfavreau,robertdowneyjr,gwynethpaltrow,terrencehoward,iron man action adventure sci-fi jonfavreau robertdowneyjr gwynethpaltrow terrencehoward after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil
shaun of the dead,2004,"Comedy, Horror",7.9,a man's uneventful life is disrupted by the zombie apocalypse,76.0,edgarwright,simonpegg,nickfrost,kateashfield,shaun of the dead comedy horror edgarwright simonpegg nickfrost kateashfield a man's uneventful life is disrupted by the zombie apocalypse
gegen die wand,2004,"Drama, Romance",7.9,with the intention to break free from the strict familial restrictions a suicidal young woman sets up a marriage of convenience with a forty-year-old addict an act that will lead to an outburst of envious love,78.0,fatihakin,birolünel,sibelkekilli,güvenkiraç,gegen die wand drama romance fatihakin birolünel sibelkekilli güvenkiraç with the intention to break free from the strict familial restrictions a suicidal young woman sets up a marriage of convenience with a forty-year-old addict an act that will lead to an outburst of envious love
mystic river,2003,"Crime, Drama, Mystery",7.9,the lives of three men who were childhood friends are shattered when one of them has a family tragedy,84.0,clinteastwood,seanpenn,timrobbins,kevinbacon,mystic river crime drama mystery clinteastwood seanpenn timrobbins kevinbacon the lives of three men who were childhood friends are shattered when one of them has a family tragedy
harry potter and the prisoner of azkaban,2004,"Adventure, Family, Fantasy",7.9,harry potter ron and hermione return to hogwarts school of witchcraft and wizardry for their third year of study where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard,82.0,alfonsocuarón,danielradcliffe,emmawatson,rupertgrint,harry potter and the prisoner of azkaban adventure family fantasy alfonsocuarón danielradcliffe emmawatson rupertgrint harry potter ron and hermione return to hogwarts school of witchcraft and wizardry for their third year of study where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard
ying xiong,2002,"Action, Adventure, History",7.9,a defense officer nameless was summoned by the king of qin regarding his success of terminating three warriors,85.0,yimouzhang,jetli,tonychiu-waileung,maggiecheung,ying xiong action adventure history yimouzhang jetli tonychiu-waileung maggiecheung a defense officer nameless was summoned by the king of qin regarding his success of terminating three warriors
hable con ella,2002,"Drama, Mystery, Romance",7.9,two men share an odd friendship while they care for two women who are both in deep comas,86.0,pedroalmodóvar,rosarioflores,javiercámara,daríograndinetti,hable con ella drama mystery romance pedroalmodóvar rosarioflores javiercámara daríograndinetti two men share an odd friendship while they care for two women who are both in deep comas
no man's land,2001,"Comedy, Drama, War",7.9,bosnia and herzegovina during 1993 at the time of the heaviest fighting between the two warring sides two soldiers from opposing sides in the conflict nino and ciki become trapped in no man's land whilst a third soldier becomes a living booby trap,84.0,danistanovic,brankodjuric,renebitorajac,filipsovagovic,no man's land comedy drama war danistanovic brankodjuric renebitorajac filipsovagovic bosnia and herzegovina during 1993 at the time of the heaviest fighting between the two warring sides two soldiers from opposing sides in the conflict nino and ciki become trapped in no man's land whilst a third soldier becomes a living booby trap
cowboy bebop: tengoku no tobira,2001,"Animation, Action, Crime",7.9,a terrorist explosion releases a deadly virus on the masses and it's up the bounty-hunting bebop crew to catch the cold-blooded culprit,61.0,shin'ichirôwatanabe,tensaiokamura,hiroyukiokiura,yoshiyukitakei,cowboy bebop: tengoku no tobira animation action crime shin'ichirôwatanabe tensaiokamura hiroyukiokiura yoshiyukitakei a terrorist explosion releases a deadly virus on the masses and it's up the bounty-hunting bebop crew to catch the cold-blooded culprit
the bourne identity,2002,"Action, Mystery, Thriller",7.9,a man is picked up by a fishing boat bullet-riddled and suffering from amnesia before racing to elude assassins and attempting to regain his memory,68.0,dougliman,frankapotente,mattdamon,chriscooper,the bourne identity action mystery thriller dougliman frankapotente mattdamon chriscooper a man is picked up by a fishing boat bullet-riddled and suffering from amnesia before racing to elude assassins and attempting to regain his memory
nueve reinas,2000,"Crime, Drama, Thriller",7.9,"two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")",80.0,fabiánbielinsky,ricardodarín,gastónpauls,gracielatenenbaum,"nueve reinas crime drama thriller fabiánbielinsky ricardodarín gastónpauls gracielatenenbaum two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")"
children of men,2006,"Adventure, Drama, Sci-Fi",7.9,in 2027 in a chaotic world in which women have become somehow infertile a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea,84.0,alfonsocuarón,juliannemoore,cliveowen,chiwetelejiofor,children of men adventure drama sci-fi alfonsocuarón juliannemoore cliveowen chiwetelejiofor in 2027 in a chaotic world in which women have become somehow infertile a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea
almost famous,2000,"Adventure, Comedy, Drama",7.9,a high-school boy is given the chance to write a story for rolling stone magazine about an up-and-coming rock band as he accompanies them on their concert tour,90.0,cameroncrowe,billycrudup,patrickfugit,katehudson,almost famous adventure comedy drama cameroncrowe billycrudup patrickfugit katehudson a high-school boy is given the chance to write a story for rolling stone magazine about an up-and-coming rock band as he accompanies them on their concert tour
mulholland dr.,2001,"Drama, Mystery, Thriller",7.9,after a car wreck on the winding mulholland drive renders a woman amnesiac she and a perky hollywood-hopeful search for clues and answers across los angeles in a twisting venture beyond dreams and reality,85.0,davidlynch,naomiwatts,lauraharring,justintheroux,mulholland dr drama mystery thriller davidlynch naomiwatts lauraharring justintheroux after a car wreck on the winding mulholland drive renders a woman amnesiac she and a perky hollywood-hopeful search for clues and answers across los angeles in a twisting venture beyond dreams and reality
toy story 2,1999,"Animation, Adventure, Comedy",7.9,when woody is stolen by a toy collector buzz and his friends set out on a rescue mission to save woody before he becomes a museum toy property with his roundup gang jessie prospector and bullseye,88.0,johnlasseter,ashbrannon,leeunkrich,tomhanks,toy story 2 animation adventure comedy johnlasseter ashbrannon leeunkrich tomhanks when woody is stolen by a toy collector buzz and his friends set out on a rescue mission to save woody before he becomes a museum toy property with his roundup gang jessie prospector and bullseye
boogie nights,1997,Drama,7.9,back when sex was safe pleasure was a business and business was booming an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent,85.0,paulthomasanderson,markwahlberg,juliannemoore,burtreynolds,boogie nights drama paulthomasanderson markwahlberg juliannemoore burtreynolds back when sex was safe pleasure was a business and business was booming an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent
mimi wo sumaseba,1995,"Animation, Drama, Family",7.9,a love story between a girl who loves reading books and a boy who has previously checked out all of the library books she chooses,75.0,yoshifumikondô,yokohonna,isseytakahashi,takashitachibana,mimi wo sumaseba animation drama family yoshifumikondô yokohonna isseytakahashi takashitachibana a love story between a girl who loves reading books and a boy who has previously checked out all of the library books she chooses
once were warriors,1994,"Crime, Drama",7.9,a family descended from maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts,77.0,leetamahori,renaowen,temueramorrison,mamaengaroakerr-bell,once were warriors crime drama leetamahori renaowen temueramorrison mamaengaroakerr-bell a family descended from maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts
true romance,1993,"Crime, Drama, Romance",7.9,in detroit a lonely pop culture geek marries a call girl steals cocaine from her pimp and tries to sell it in hollywood meanwhile the owners of the cocaine the mob track them down in an attempt to reclaim it,59.0,tonyscott,christianslater,patriciaarquette,dennishopper,true romance crime drama romance tonyscott christianslater patriciaarquette dennishopper in detroit a lonely pop culture geek marries a call girl steals cocaine from her pimp and tries to sell it in hollywood meanwhile the owners of the cocaine the mob track them down in an attempt to reclaim it
trois couleurs: bleu,1993,"Drama, Music, Mystery",7.9,a woman struggles to find a way to live her life after the death of her husband and child,85.0,krzysztofkieslowski,juliettebinoche,zbigniewzamachowski,juliedelpy,trois couleurs: bleu drama music mystery krzysztofkieslowski juliettebinoche zbigniewzamachowski juliedelpy a woman struggles to find a way to live her life after the death of her husband and child
jûbê ninpûchô,1993,"Animation, Action, Adventure",7.9,a vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the tokugawa shogunate,78.0,yoshiakikawajiri,kôichiyamadera,emishinohara,takeshiaono,jûbê ninpûchô animation action adventure yoshiakikawajiri kôichiyamadera emishinohara takeshiaono a vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the tokugawa shogunate
carlito's way,1993,"Crime, Drama, Thriller",7.9,a puerto rican former convict just released from prison pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of nyc,65.0,briandepalma,alpacino,seanpenn,penelopeannmiller,carlito's way crime drama thriller briandepalma alpacino seanpenn penelopeannmiller a puerto rican former convict just released from prison pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of nyc
edward scissorhands,1990,"Drama, Fantasy, Romance",7.9,an artificial man who was incompletely constructed and has scissors for hands leads a solitary life then one day a suburban lady meets him and introduces him to her world,74.0,timburton,johnnydepp,winonaryder,diannewiest,edward scissorhands drama fantasy romance timburton johnnydepp winonaryder diannewiest an artificial man who was incompletely constructed and has scissors for hands leads a solitary life then one day a suburban lady meets him and introduces him to her world
my left foot: the story of christy brown,1989,"Biography, Drama",7.9,christy brown born with cerebral palsy learns to paint and write with his only controllable limb - his left foot,97.0,jimsheridan,danielday-lewis,brendafricker,alisonwhelan,my left foot: the story of christy brown biography drama jimsheridan danielday-lewis brendafricker alisonwhelan christy brown born with cerebral palsy learns to paint and write with his only controllable limb - his left foot
crimes and misdemeanors,1989,"Comedy, Drama",7.9,an ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman,77.0,woodyallen,martinlandau,woodyallen,billbernstein,crimes and misdemeanors comedy drama woodyallen martinlandau woodyallen billbernstein an ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman
the untouchables,1987,"Crime, Drama, Thriller",7.9,during the era of prohibition in the united states federal agent eliot ness sets out to stop ruthless chicago gangster al capone and because of rampant corruption assembles a small hand-picked team to help him,79.0,briandepalma,kevincostner,seanconnery,robertdeniro,the untouchables crime drama thriller briandepalma kevincostner seanconnery robertdeniro during the era of prohibition in the united states federal agent eliot ness sets out to stop ruthless chicago gangster al capone and because of rampant corruption assembles a small hand-picked team to help him
hannah and her sisters,1986,"Comedy, Drama",7.9,between two thanksgivings two years apart hannah's husband falls in love with her sister lee while her hypochondriac ex-husband rekindles his relationship with her sister holly,90.0,woodyallen,miafarrow,diannewiest,michaelcaine,hannah and her sisters comedy drama woodyallen miafarrow diannewiest michaelcaine between two thanksgivings two years apart hannah's husband falls in love with her sister lee while her hypochondriac ex-husband rekindles his relationship with her sister holly
brazil,1985,"Drama, Sci-Fi",7.9,a bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams,84.0,terrygilliam,jonathanpryce,kimgreist,robertdeniro,brazil drama sci-fi terrygilliam jonathanpryce kimgreist robertdeniro a bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams
this is spinal tap,1984,"Comedy, Music",7.9,spinal tap one of england's loudest bands is chronicled by film director marty dibergi on what proves to be a fateful tour,92.0,robreiner,robreiner,michaelmckean,christopherguest,this is spinal tap comedy music robreiner robreiner michaelmckean christopherguest spinal tap one of england's loudest bands is chronicled by film director marty dibergi on what proves to be a fateful tour
a christmas story,1983,"Comedy, Family",7.9,in the 1940s a young boy named ralphie attempts to convince his parents his teacher and santa that a red ryder bb gun really is the perfect christmas gift,77.0,bobclark,peterbillingsley,melindadillon,darrenmcgavin,a christmas story comedy family bobclark peterbillingsley melindadillon darrenmcgavin in the 1940s a young boy named ralphie attempts to convince his parents his teacher and santa that a red ryder bb gun really is the perfect christmas gift
the blues brothers,1980,"Action, Adventure, Comedy",7.9,jake blues just released from prison puts together his old band to save the catholic home where he and his brother elwood were raised,60.0,johnlandis,johnbelushi,danaykroyd,cabcalloway,the blues brothers action adventure comedy johnlandis johnbelushi danaykroyd cabcalloway jake blues just released from prison puts together his old band to save the catholic home where he and his brother elwood were raised
manhattan,1979,"Comedy, Drama, Romance",7.9,the life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress,83.0,woodyallen,woodyallen,dianekeaton,marielhemingway,manhattan comedy drama romance woodyallen woodyallen dianekeaton marielhemingway the life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress
all that jazz,1979,"Drama, Music, Musical",7.9,director/choreographer bob fosse tells his own life story as he details the sordid career of joe gideon a womanizing drug-using dancer,72.0,bobfosse,royscheider,jessicalange,annreinking,all that jazz drama music musical bobfosse royscheider jessicalange annreinking director/choreographer bob fosse tells his own life story as he details the sordid career of joe gideon a womanizing drug-using dancer
dawn of the dead,1978,"Action, Adventure, Horror",7.9,following an ever-growing epidemic of zombies that have risen from the dead two philadelphia swat team members a traffic reporter and his television executive girlfriend seek refuge in a secluded shopping mall,71.0,georgearomero,davidemge,kenforee,scotthreiniger,dawn of the dead action adventure horror georgearomero davidemge kenforee scotthreiniger following an ever-growing epidemic of zombies that have risen from the dead two philadelphia swat team members a traffic reporter and his television executive girlfriend seek refuge in a secluded shopping mall
all the president's men,1976,"Biography, Drama, History",7.9,"""the washington post"" reporters bob woodward and carl bernstein uncover the details of the watergate scandal that leads to president richard nixon's resignation",84.0,alanjpakula,dustinhoffman,robertredford,jackwarden,"all the president's men biography drama history alanjpakula dustinhoffman robertredford jackwarden ""the washington post"" reporters bob woodward and carl bernstein uncover the details of the watergate scandal that leads to president richard nixon's resignation"
la montaña sagrada,1973,"Adventure, Drama, Fantasy",7.9,in a corrupt greed-fueled world a powerful alchemist leads a messianic character and seven materialistic figures to the holy mountain where they hope to achieve enlightenment,76.0,alejandrojodorowsky,alejandrojodorowsky,horaciosalinas,zamirasaunders,la montaña sagrada adventure drama fantasy alejandrojodorowsky alejandrojodorowsky horaciosalinas zamirasaunders in a corrupt greed-fueled world a powerful alchemist leads a messianic character and seven materialistic figures to the holy mountain where they hope to achieve enlightenment
amarcord,1973,"Comedy, Drama, Family",7.9,a series of comedic and nostalgic vignettes set in a 1930s italian coastal town,78.0,federicofellini,magalinoël,brunozanin,pupellamaggio,amarcord comedy drama family federicofellini magalinoël brunozanin pupellamaggio a series of comedic and nostalgic vignettes set in a 1930s italian coastal town
